Name,Zone,Level,Classification,Type,Movement,Notes/Abilities,Commands
Ironeye the Invincible,Thousand Needles,32,Rare Elite,Beast,Slow Patrol,Basic elite,".line Thousand Needles,88.58,76.11,87.99,75.23,87.89,74.49,88.01,73.43,87.81,71.05,87.53,70.40,87.18,70.68,86.28,72.06,86.54,72.94,87.47,74.18,87.85,75.29,87.77,75.87,87.03,76.81,86.78,77.59,86.93,78.28,86.92,79.04,86.79,79.52,86.99,80.73,87.27,81.04,87.54,80.91,88.63,79.81,88.94,78.91,88.99,77.27,88.72,76.20,88.58,76.11;.mob Ironeye the Invincible"
Vile Sting,Thousand Needles,34,Rare Elite,Beast,Slow Patrol,Basic elite,".line Thousand Needles,69.86,64.43,70.49,63.62,70.97,63.43,71.45,63.63,71.48,64.19,71.15,65.20,71.15,65.86,71.74,66.12,72.14,66.13,72.56,66.70,72.27,67.50,72.15,67.72,71.92,68.91,71.94,69.58,72.51,70.25,72.89,71.01,72.94,71.26,72.51,71.98,71.92,72.62,71.54,73.21,71.29,73.52,71.41,73.70,71.52,73.71,71.27,74.50,71.40,75.72,72.74,75.70,73.13,74.62,73.13,74.18,72.89,73.48,72.41,72.96,71.56,72.51,71.23,72.58,70.69,71.29,70.50,70.58,70.33,69.62,70.46,69.24,70.35,68.54,70.00,68.03,69.69,66.71,69.68,65.37,69.86,64.43;.mob Vile Sting"
Salt Flats Scavenger,Thousand Needles,30-32,Normal,Beast,Idle,Executes,".pin Thousand Needles,84.27,82.13,30,0.pin Thousand Needles,87.56,65.48;.mob Salt Flats Scavenger"
Silithid Searcher,Thousand Needles,32-33,Normal,Uncategorized,Idle,Massive social aggro radius/call for help,".pin Thousand Needles,65.89,86.11,30,0.pin Thousand Needles,68.69,83.74,30,0.pin Thousand Needles,70.72,85.37,30,0.pin Thousand Needles,69.40,88.20,30,0.pin Thousand Needles,68.91,86.08;.mob Silithid Searcher"
Salt Flats Vulture,Thousand Needles,32-34,Normal,Beast,Idle,Executes,".pin Thousand Needles,84.27,82.13,30,0.pin Thousand Needles,87.56,65.48;.mob Salt Flats Vulture"
Silithid Hive,Thousand Needles,33-34,Normal,Uncategorized,Idle,Massive social aggro radius/call for help,".pin Thousand Needles,65.89,86.11,30,0.pin Thousand Needles,68.69,83.74,30,0.pin Thousand Needles,70.72,85.37,30,0.pin Thousand Needles,69.40,88.20,30,0.pin Thousand Needles,68.91,86.08;.mob Silithid Hive"
Silithid Invader,Thousand Needles,34-35,Normal,Uncategorized,Idle,Massive social aggro radius/call for help,".pin Thousand Needles,65.89,86.11,30,0.pin Thousand Needles,68.69,83.74,30,0.pin Thousand Needles,70.72,85.37,30,0.pin Thousand Needles,69.40,88.20,30,0.pin Thousand Needles,68.91,86.08;.mob Silithid Invader"
Unseen,Tirisfal Glades,49-51,Normal,Undead,Idle,"Invisible mobs in UC courtyard, aggros if AoE'd",".pin Tirisfal Glades,58.8,68.1;.pin Tirisfal Glades,59.2,71.7;.pin Tirisfal Glades,64.0,71.7;.pin Tirisfal Glades,64.5,67.5;.mob Unseen"
Sri'skulk,Tirisfal Glades,13,Normal,Beast,Slow Patrol,"lvl 13 rare spider with multiple poison dps abilities, south of SM",".line Tirisfal Glades,84.26,48.91,84.62,49.57,84.78,50.30;.mob Sri'skulk"
Unseen,Undercity,49-51,Normal,Undead,Idle,"Invisible mobs in UC courtyard, aggros if AoE'd",".pin Undercity,61.3,7.9;.pin Undercity,71.2,7.1;.pin Undercity,64.8,15.4;.pin Undercity,68.8,14.9;.mob Unseen"
Blazerunner,Un’Goro Crater,56,Elite,Elemental,Idle,"Huge knockback, painful fire AoE if quest item unused",".pin Un'Goro Crater,49.2,49.0;.mob Blazerunner"
Gruff,Un’Goro Crater,57,Rare Elite,Beast,Idle,Not sure if he has a short patrol path or not,".pin Un'Goro Crater,31.8,79.6;.pin Un'Goro Crater,31.8,71.4;.pin Un'Goro Crater,35.6,66.0;.pin Un'Goro Crater,37.8,75.6;.mob Gruff"
Baron Charr,Un’Goro Crater,58,Elite,Elemental,Slow Patrol,Patrols with 3 fire eles; stacking +fire damage taken debuff,".line Un'Goro Crater,55.02,40.84,54.29,40.75,53.28,41.54,52.65,41.77,51.70,41.34,50.05,42.04,49.23,42.24,48.02,42.91,47.14,42.84,46.09,43.57,45.44,44.52,45.17,44.95,44.78,45.01,43.95,46.91,43.63,47.90,43.75,48.69,44.74,50.26,45.17,51.17,45.28,52.03,45.16,52.94,44.94,53.96,45.35,54.76,46.47,55.67,47.50,56.45,48.12,56.63,49.77,56.87,50.56,56.58,51.31,55.97,52.23,56.30,53.09,57.13,54.92,58.05,55.81,57.13,56.31,56.34,56.37,55.16,56.11,53.17,56.06,51.16,56.71,45.98,56.70,44.36,56.43,42.59,55.89,41.82,55.02,40.84;.mob Baron Charr"
Plated Stegodon,Un’Goro Crater,52-54,Elite,Beast,Idle,"High armor, 5 sec stun",".pin Un'Goro Crater,26.0,54.6;.pin Un'Goro Crater,27.4,63.4;.pin Un'Goro Crater,30.8,70.2;.pin Un'Goro Crater,35.6,75.8;.pin Un'Goro Crater,40.8,77.8;.pin Un'Goro Crater,39.2,70.8;.pin Un'Goro Crater,35.2,68.4;.pin Un'Goro Crater,31.4,64.0;.pin Un'Goro Crater,37.0,61.4;.pin Un'Goro Crater,40.0,67.2;.mob Plated Stegodon"
Stegodon,Un’Goro Crater,53-53,Elite,Beast,Idle,"Charges, has 5 sec stun",".pin Un'Goro Crater,26.0,54.6;.pin Un'Goro Crater,27.4,63.4;.pin Un'Goro Crater,30.8,70.2;.pin Un'Goro Crater,35.6,75.8;.pin Un'Goro Crater,40.8,77.8;.pin Un'Goro Crater,39.2,70.8;.pin Un'Goro Crater,35.2,68.4;.pin Un'Goro Crater,31.4,64.0;.pin Un'Goro Crater,37.0,61.4;.pin Un'Goro Crater,40.0,67.2;.mob Stegodon"
Spiked Stegodon,Un’Goro Crater,53-54,Elite,Beast,Idle,"Passive thorns, 5 sec stun",".pin Un'Goro Crater,26.0,54.6;.pin Un'Goro Crater,27.4,63.4;.pin Un'Goro Crater,30.8,70.2;.pin Un'Goro Crater,35.6,75.8;.pin Un'Goro Crater,40.8,77.8;.pin Un'Goro Crater,39.2,70.8;.pin Un'Goro Crater,35.2,68.4;.pin Un'Goro Crater,31.4,64.0;.pin Un'Goro Crater,37.0,61.4;.pin Un'Goro Crater,40.0,67.2;.mob Spiked Stegodon"
Tyrant Devilsaur,Un’Goro Crater,54-55,Elite,Beast,Fast Patrol,AoE Fear,".line Un'Goro Crater,57.37,23.89,59.71,28.76,60.41,28.49,63.04,25.96,64.67,26.25,66.24,27.37,67.66,25.84,69.71,26.20,70.35,28.52,70.15,30.43,69.32,30.86,68.58,32.16,67.35,31.50,66.03,31.83,65.66,33.07,65.84,34.85;.mob Tyrant Devilsaur"
Tyrant Devilsaur,Un’Goro Crater,54-55,Elite,Beast,Fast Patrol,Knockback,".line Un'Goro Crater,31.29,36.58,32.35,37.27,33.37,38.65,36.55,41.44,37.56,43.66,39.82,55.59,38.72,57.29,39.55,60.15,39.92,61.85,41.70,64.18;.mob Devilsaur"
Devilsaur,Un’Goro Crater,54-55,Elite,Beast,Fast Patrol,Knockback,".line Un'Goro Crater,62.59,59.21,63.41,59.30,64.01,60.17,64.73,60.23,65.87,59.21,66.89,58.10,69.59,57.31,71.13,51.60,71.77,50.20,72.75,49.60,73.72,49.25,74.33,46.66,75.75,44.95,75.12,43.14,75.28,40.91,74.40,39.86,74.46,38.65,73.69,37.87,74.31,36.36,74.35,33.06;.mob Devilsaur"
Devilsaur,Un’Goro Crater,54-55,Elite,Beast,Fast Patrol,Knockback,".line Un'Goro Crater,30.15,53.32,30.79,50.89,30.82,49.21,31.10,45.38,31.99,45.33,32.70,43.84,33.13,39.47,34.69,37.35,35.62,37.19,36.54,35.18,36.61,32.96,35.60,31.16,35.71,28.77,34.61,27.52,34.65,22.07;.mob Devilsaur"
Ironhide Devilsaur,Un’Goro Crater,54-55,Elite,Beast,Fast Patrol,Knockback,".line Un'Goro Crater,56.55,33.92,55.84,36.22,57.56,40.04,59.44,44.54,56.71,47.42,57.32,52.52,59.83,57.24,59.06,60.14,57.34,63.74,57.65,67.31,59.59,69.83,57.86,73.60,59.04,76.36;.mob Devilsaur"
Thunderstomp Stegodon,Un’Goro Crater,54-55,Elite,Beast,Idle,"Thunderclaps, has 5 sec stun",".pin Un'Goro Crater,26.0,54.6;.pin Un'Goro Crater,27.4,63.4;.pin Un'Goro Crater,30.8,70.2;.pin Un'Goro Crater,35.6,75.8;.pin Un'Goro Crater,40.8,77.8;.pin Un'Goro Crater,39.2,70.8;.pin Un'Goro Crater,35.2,68.4;.pin Un'Goro Crater,31.4,64.0;.pin Un'Goro Crater,37.0,61.4;.pin Un'Goro Crater,40.0,67.2;.mob Thunderstomp Stegodon"
Ironhide Devilsaur,Un’Goro Crater,54-56,Elite,Beast,Fast Patrol,"High armor, long stun",".line Un'Goro Crater,43.55,80.17,44.51,79.04,44.59,76.94,45.37,74.80,46.51,74.12,46.67,69.68,46.19,68.51,46.03,66.17,47.31,62.85,49.05,61.92,50.93,60.08,52.85,58.94,53.60,59.09,54.56,60.91,54.43,63.34,52.69,65.54,52.51,70.90,53.62,72.82,53.74,73.90;.mob Ironhide Devilsaur"
King Mosh,Un’Goro Crater,60,Rare Elite,Beast,Idle,"RECKLESSNESS, Aoe fear, aoe damage, bleed",".pin Un'Goro Crater,29.04,36.41;.mob King Mosh"
Foulmane,Western Plaguelands,52,Rare,Undead,Slow Patrol,"physical damage taken debuff, thrashes, bleeds",".line Western Plaguelands,45.69,52.34,45.75,51.39,46.20,51.03,46.64,51.29,46.72,51.95,46.36,52.37,45.69,52.34;.mob Foulmane"
Cauldron Lord Bilemaw,Western Plaguelands,53,Normal,Undead,Idle,spawns/aggros as soon as player/a pet gets near the cauldron,".pin Western Plaguelands,36.8,57.2;.mob Cauldron Lord Bilemaw"
Cauldron Lord Malvinious,Western Plaguelands,55,Normal,Undead,Idle,spawns/aggros as soon as player/a pet gets near the cauldron,".pin Western Plaguelands,46.2,52.6;.mob Cauldron Lord Malvinious"
Lord Maldazzar,Western Plaguelands,56,Rare,Humanoid,Idle,"Summons adds, high damage output",".pin Western Plaguelands,48.2,81.0;.pin Western Plaguelands,48.2,78.6;.pin Western Plaguelands,49.6,82.4;.pin Western Plaguelands,49.8,78.6;.pin Western Plaguelands,50.6,75.4;.pin Western Plaguelands,54.6,79.8;.mob Lord Maldazzar"
Cauldron Lord Razarch,Western Plaguelands,56,Normal,Undead,Idle,spawns/aggros as soon as player/a pet gets near the cauldron,".pin Western Plaguelands,52.8,66.0;.mob Cauldron Lord Razarch"
Cavalier Durgen,Western Plaguelands,57,Normal,Humanoid,Slow Patrol,"Pats up and down the stairs, has a long HoJ",".pin Western Plaguelands,54.39,23.70;.mob Cavalier Durgen"
Cauldron Lord Soulwrath,Western Plaguelands,58,Normal,Undead,Idle,spawns/aggros as soon as player/a pet gets near the cauldron,".pin Western Plaguelands,62.6,59.0;.mob Cauldron Lord Soulwrath"
Scarlet Judge,Western Plaguelands,60,Rare,Humanoid,Idle,Long stun in area full of elites/pats,".pin Western Plaguelands,42.6,18.6;.mob Scarlet Judge"
Spectral Attendant,Western Plaguelands,60,Normal,Undead,Idle,"inflicts the ""cripple"" debuff",".pin Western Plaguelands,45.6,69.2;.mob Spectral Attendant"
Crimson Elite,Western Plaguelands,60,Elite,Humanoid,Idle,Lingers if not slain during In Dreams,".pin Western Plaguelands,53.8,24.6;.mob Crimson Elite"
Scarlet Executioner,Western Plaguelands,60,Rare Elite,Humanoid,Fast Patrol,"Enrages, high level, runs up/down the tower stairs",".pin Western Plaguelands,45.78,18.66;.mob Scarlet Executioner"
Scarlet Interrogator,Western Plaguelands,61,Rare Elite,Humanoid,Idle,"Hits for 500-600, can social aggro easily",".pin Western Plaguelands,44.4,14.8;.mob Scarlet Interrogator"
Araj the Summoner,Western Plaguelands,61,Elite,Undead,Idle,"frostbolts hit hard, has lots of hp, and pulls with many mobs",".pin Western Plaguelands,45.6,69.2;.mob Araj the Summoner"
High Protector Lorik,Western Plaguelands,61,Elite,Humanoid,Slow Patrol,"Hits hard, divine shields, heals, and has a ~20yd knockback/shock",".line Western Plaguelands,44.95,17.71,44.53,17.63,44.27,18.14,44.30,18.64,44.27,19.08,43.38,17.76,43.18,17.73,43.39,15.92,42.94,15.54,43.41,15.90,44.09,15.79,44.35,16.31,44.05,15.64,43.98,15.08,44.12,14.60,43.85,14.22,43.82,13.76,43.98,13.67,43.82,13.76,43.85,14.22,44.15,14.51,45.49,14.46,45.41,13.78,45.56,13.19,45.44,13.68,45.60,14.62,45.82,14.89,46.10,14.91,46.08,15.23,46.69,16.21,46.65,16.68,46.65,17.67,46.32,17.21,47.00,18.15,47.40,18.93,47.44,19.35,47.24,20.52,46.26,21.23,45.93,21.05,45.00,20.00,44.08,20.01,45.00,20.00,44.47,19.25,44.29,18.67,44.26,18.15,44.55,17.68,44.70,17.58,44.95,17.71;.mob High Protector Lorik"
Foreman Jerris,Western Plaguelands,62,Rare Elite,Humanoid,Idle,Stuns and thrashes,".pin Western Plaguelands,45.45,9.38;.mob Foreman Jerris"
Scarlet High Clerist,Western Plaguelands,63,Rare Elite,Humanoid,Idle,"Big heal, often pulls with adds",".pin Western Plaguelands,55.0,23.6;.mob Scarlet High Clerist"
Skeletal Flayer,Western Plaguelands,50-51,Normal,Undead,Idle,Thrashes,".pin Western Plaguelands,48.2,81.0;.pin Western Plaguelands,48.2,78.6;.pin Western Plaguelands,49.6,82.4;.pin Western Plaguelands,49.8,78.6;.pin Western Plaguelands,50.6,75.4;.pin Western Plaguelands,54.6,79.8;.pin Western Plaguelands,36.2,57.4;.pin Western Plaguelands,37.6,59.6;.pin Western Plaguelands,37.4,55.2;.pin Western Plaguelands,38.6,57.4;.pin Western Plaguelands,38.6,53.4;.mob Skeletal Flayer"
Skeletal Terror,Western Plaguelands,52-54,Normal,Undead,Idle,fears in a crowded area,".pin Western Plaguelands,44.8,52.2;.pin Western Plaguelands,46.6,51.6;.pin Western Plaguelands,47.4,49.2;.mob Skeletal Terror"
Skeletal Executioner,Western Plaguelands,54-55,Normal,Undead,Idle,Executes,".pin Western Plaguelands,39.6,70.4;.pin Western Plaguelands,41.2,67.4;.pin Western Plaguelands,45.0,65.4;.pin Western Plaguelands,49.4,65.8;.pin Western Plaguelands,48.4,71.8;.pin Western Plaguelands,44.4,72.6;.pin Western Plaguelands,41.0,70.6;.pin Western Plaguelands,44.6,68.6;.mob Skeletal Executioner"
Freezing Ghoul,Western Plaguelands,55-56,Normal,Undead,Idle,Has a 5 second stun,".pin Western Plaguelands,52.4,63.0;.pin Western Plaguelands,53.6,67.6;.mob Freezing Ghoul"
Scarlet Paladin,Western Plaguelands,55-56,Elite,Humanoid,Idle,Standard elite mob,".pin Western Plaguelands,42.6,18.6;.pin Western Plaguelands,42.0,15.6;.pin Western Plaguelands,44.8,16.4;.pin Western Plaguelands,47.2,20.2;.mob Scarlet Paladin"
Scarlet Sentinel,Western Plaguelands,55-56,Elite,Humanoid,Idle,"Sees through talented stealth, and has overpower",".pin Western Plaguelands,42.6,18.6;.pin Western Plaguelands,42.0,15.6;.pin Western Plaguelands,44.8,16.4;.pin Western Plaguelands,47.2,20.2;.pin Western Plaguelands,48.8,22.2;.mob Scarlet Sentinel"
Temporal Parasite,Western Plaguelands,55-57,Normal,Beast,Idle,"Lingers if not slain; long slow, multiplies on death",".pin Western Plaguelands,44.8,61.4;.pin Western Plaguelands,48.6,63.6;.pin Western Plaguelands,48.0,66.6;.pin Western Plaguelands,49.6,69.2;.mob Temporal Parasite"
Scarlet Priest,Western Plaguelands,55-57,Elite,Humanoid,Idle,Standard elite mob with a big heal,".pin Western Plaguelands,43.2,20.8;.pin Western Plaguelands,47.0,20.2;.pin Western Plaguelands,47.6,16.8;.mob Scarlet Priest"
Scarlet Avenger,Western Plaguelands,56-57,Normal,Humanoid,Idle,Thrashes,".pin Western Plaguelands,53.2,37.4;.pin Western Plaguelands,54.6,34.0;.pin Western Plaguelands,57.2,35.6;.pin Western Plaguelands,54.6,23.8;.mob Scarlet Avenger"
Scarlet Magus,Western Plaguelands,56-57,Elite,Humanoid,Idle,Standard elite mob; has fire ward,".pin Western Plaguelands,44.80,15.58;.mob Scarlet Magus"
Skeletal Warlord,Western Plaguelands,56-57,Elite,Undead,Idle,mortal strikes and stuns in a busy area,".pin Western Plaguelands,44.26,63.23;.pin Western Plaguelands,42.36,66.18;.pin Western Plaguelands,40.07,71.64;.pin Western Plaguelands,46.62,71.12;.mob Skeletal Warlord"
Flesh Golem,Western Plaguelands,56-57,Elite,Undead,Idle,"Sometimes patrolling, has a knockback",".pin Western Plaguelands,39.6,70.4;.pin Western Plaguelands,41.2,67.4;.pin Western Plaguelands,45.0,65.4;.pin Western Plaguelands,49.4,65.8;.pin Western Plaguelands,48.4,71.8;.pin Western Plaguelands,44.4,72.6;.pin Western Plaguelands,41.0,70.6;.pin Western Plaguelands,44.6,68.6;.pin Western Plaguelands,41.8,68.2;.mob Flesh Golem"
Scarlet Spellbinder,Western Plaguelands,57-58,Normal,Humanoid,Idle,Frost Novas in busy area with a few pats/elites,".pin Western Plaguelands,55.0,23.4;.mob Scarlet Spellbinder"
Haunting Vision,Western Plaguelands,57-58,Normal,Undead,Idle,"inflicts the ""cripple"" debuff",".pin Western Plaguelands,62.7,58.3;.mob Haunting Vision"
Mezzir the Howler,Winterspring,55,Rare,Humanoid,Idle,3 second AoE fear,".pin Winterspring,31.6,37.4;.pin Winterspring,40.6,36.6;.pin Winterspring,45.0,37.4;.mob Mezzir the Howler"
Spellmaw,Winterspring,56,Elite,Dragonkin,Slow Patrol,Purges,".line Winterspring,57.18,52.58,56.57,51.93,56.38,51.56,56.23,51.10,56.12,50.37,56.27,48.95,55.86,48.92,55.40,48.50,55.42,47.84,55.75,47.29,56.15,46.92,56.97,46.71,57.47,46.98,57.86,47.35,58.50,47.54,58.88,47.54,59.42,47.60,59.58,47.66,59.86,48.34,60.35,48.21,60.64,48.29,61.11,49.30,61.00,49.66,60.72,49.84,60.80,50.02,61.09,50.45,60.99,51.93,60.54,53.18,60.15,52.93,59.91,52.99,59.32,53.43,58.68,54.30,58.14,54.32,57.36,53.31,57.18,52.58;.mob Spellmaw"
Ursius,Winterspring,56,Elite,Beast,Slow Patrol,Hits for 330+,".line Winterspring,63.78,25.16,64.07,25.09,64.08,25.50,64.41,25.26,64.48,24.86,64.47,24.21,64.35,24.11,64.00,24.15,63.44,24.78,63.31,25.27,63.30,25.74,63.51,26.24,63.30,26.53,63.39,26.96,63.25,27.33,62.81,27.17,62.47,26.81,62.09,26.51,61.42,26.36,61.38,26.61,61.44,26.96,61.47,27.34,61.51,27.48,61.51,27.65,61.80,27.74,61.85,28.00,62.35,28.39,62.59,28.80,62.91,29.95,62.91,30.44,62.78,30.82,62.70,31.39,62.50,31.78,62.39,31.94,62.03,32.06,61.06,31.55,60.95,31.88,61.00,32.26,60.89,32.60,60.72,32.93,60.71,33.28,60.56,33.54,60.24,33.57,59.91,33.25,59.71,32.88,59.25,33.11,58.31,33.06,57.70,32.60,57.43,32.59,57.18,32.81,56.92,32.69,56.67,32.44,56.58,32.30,56.38,32.22,56.09,32.49;.mob Ursius"
Rak'shiri,Winterspring,57,Rare Elite,Beast,Idle,4 second terrify,".pin Winterspring,52.4,14.6;.mob Rak'shiri"
Winterfall Runner,Winterspring,57,Normal,Humanoid,Slow Patrol,"Grouped with two other furbolg, usually one that can heal",".line Winterspring,28.07,35.29,28.02,36.46,28.32,37.14,28.47,37.92,28.53,39.39,28.80,39.76,29.32,40.86,29.91,42.27,30.44,42.54,31.65,42.44,32.60,42.17,33.59,41.99,34.67,41.91,36.04,42.16,38.21,41.98,40.23,40.75,42.32,39.97,44.29,39.90,46.45,39.66,48.38,38.86,49.19,38.15,49.35,37.79,49.65,37.59,50.57,36.63,51.67,36.21,52.25,35.75,52.75,35.30,53.46,34.27,53.75,33.38,53.93,32.50,53.97,31.32,54.60,30.91,55.51,30.05,57.14,29.72,58.07,28.93,58.74,27.94,59.01,26.99,59.24,26.48,60.37,25.02,60.62,24.75,61.11,24.44,61.29,24.35,61.92,23.82,62.34,23.92,62.37,24.95,62.21,25.30,62.60,25.99,63.04,26.55,63.50,27.81,63.95,28.34,64.12,28.94,64.10,30.84,64.21,31.40,64.97,33.08,65.44,33.48,66.44,33.71,66.63,33.93,66.80,34.47,66.87,34.87,66.97,35.22,67.53,37.01,68.12,37.76,68.65,38.20,68.76,38.13,68.94,37.84,69.29,38.40,69.61,38.29;.mob Winterfall Runner"
Brumeran,Winterspring,58,Elite,Beast,Slow Patrol,"Enrages, has ice armor",".line Winterspring,54.74,45.75,54.98,46.46,55.00,47.48,55.34,48.57,56.01,48.99,56.25,50.01,56.37,50.93,56.60,52.04,56.93,52.43,57.19,52.90,57.85,53.42,58.33,53.96,58.66,54.20,59.56,54.60,60.58,55.48,61.55,56.52,62.23,56.86,62.55,57.91,61.88,59.55,61.42,60.12,60.93,60.42,60.51,61.04,59.98,61.46,59.53,61.60,58.89,62.24,58.84,62.86;.mob Brumeran"
High Chief Winterfall,Winterspring,59,Elite,Humanoid,Idle,"Grouped with two other furbolg, usually one that can heal",".pin Winterspring,69.4,38.4;.mob High Chief Winterfall"
Azurous,Winterspring,59,Rare Elite,Dragonkin,Slow Patrol,Frost breath attack,".line Winterspring,54.54,45.52,54.79,45.82,54.96,46.67,55.00,47.49,55.21,48.01,55.42,48.03,55.68,47.58,55.84,46.81,55.89,46.33,56.10,45.97,56.55,45.85,56.99,45.83,57.34,45.26,57.59,44.47,57.84,44.01,58.27,43.79,58.72,44.01,59.28,43.84,59.82,42.37,60.13,41.83,61.16,41.41,61.52,41.23,62.04,41.19,62.46,41.39,62.94,41.89,63.46,41.85,63.83,41.67,64.01,41.68,64.28,42.30,64.66,42.77,65.07,42.95,65.51,43.33,65.88,43.74,66.24,44.28,66.56,44.90,66.61,45.65,66.62,47.67,66.63,48.77,66.87,49.68,66.35,51.25,66.26,52.16,66.80,53.98;.mob Azurous"
Kashoch the Reaver,Winterspring,60,Rare Elite,Giant,Idle,Basic elite,".pin Winterspring,63.2,70.0;.mob Kashoch the Reaver"
Princess Tempestria,Winterspring,60,Elite,Elemental,Slow Patrol,"Knockback, immune to banish, patrols with group",".line Winterspring,54.18,43.11,54.79,42.41,54.94,42.04,54.83,41.57,54.54,41.03,53.82,40.79,52.37,42.05,51.84,42.21,51.47,42.77,51.80,43.37,52.21,43.67,54.18,43.11;.mob Princess Tempestria"
Watery Invader,Winterspring,56-58,Normal,Elemental,Idle,~600 damage frost shock,".pin Winterspring,52.0,39.6;.pin Winterspring,51.4,43.4;.pin Winterspring,54.6,43.6;.pin Winterspring,54.8,39.4;.pin Winterspring,53.4,41.2;.mob Watery Invader"
Frostsaber Stalker,Winterspring,59-60,Normal,Beast,Idle,Stealthed,".pin Winterspring,51.0,21.6;.pin Winterspring,53.4,17.4;.pin Winterspring,56.8,16.6;.pin Winterspring,56.8,11.8;.pin Winterspring,54.8,10.6;.pin Winterspring,52.4,10.4;.pin Winterspring,48.4,12.6;.pin Winterspring,49.0,17.0;.pin Winterspring,51.0,15.6;.pin Winterspring,53.6,13.2;.mob Frostsaber Stalker"
